line_number,book_number,original_text,verse_normalized,verse_syllabified
721,2,"Wenige Kinder nur sind gleich den Vätern an Tugend,",wenige kinder nur sind gleich den vätern an tugend,we|ni|ge|kin|der|nur|sind|gleich|den|vä|tern|an|tu|gend
722,2,"Schlechter als sie die meisten, und nur sehr wenige besser.",schlechter als sie die meisten und nur sehr wenige besser,schlech|ter|als|sie|die|meis|ten|und|nur|sehr|we|ni|ge|bes|ser
723,2,"Wirst du dich aber hinfort nicht feige betragen noch töricht,",wirst du dich aber hinfort nicht feige betragen noch töricht,wirst|du|dich|a|ber|hin|fort|nicht|fei|ge|be|tra|gen|noch|tö|richt
724,2,Und verließ dich nicht völlig der Geist des großen Odysseus;,und verließ dich nicht völlig der geist des großen odysseus,und|ver|ließ|dich|nicht|völ|lig|der|geist|des|gro|ßen|o|dys|seus
725,2,"Dann ist Hoffnung genug, du wirst das Werk noch vollenden.",dann ist hoffnung genug du wirst das werk noch vollenden,dann|ist|hoff|nung|ge|nug|du|wirst|das|werk|noch|voll|en|den
726,2,Darum kümmre dich nicht das Sinnen und Trachten der Freier:,darum kümmre dich nicht das sinnen und trachten der freier,da|rum|kümm|re|dich|nicht|das|sin|nen|und|trach|ten|der|frei|er
727,2,"Toren sind sie, und kennen Gerechtigkeit weder noch Weisheit,",toren sind sie und kennen gerechtigkeit weder noch weisheit,to|ren|sind|sie|und|ken|nen|ge|rech|tig|keit|we|der|noch|weis|heit
728,2,"Ahnen auch nicht einmal den Tod und das schwarze Verhängnis,",ahnen auch nicht einmal den tod und das schwarze verhängnis,ah|nen|auch|nicht|ein|mal|den|tod|und|das|schwar|ze|ver|häng|nis
729,2,"Welches schon naht, um sie alle an einem Tage zu würgen.",welches schon naht um sie alle an einem tage zu würgen,wel|ches|schon|naht|um|sie|al|le|an|ei|nem|ta|ge|zu|wür|gen
730,2,Aber dich soll nichts mehr an deiner Reise verhindern.,aber dich soll nichts mehr an deiner reise verhindern,a|ber|dich|soll|nichts|mehr|an|dei|ner|rei|se|ver|hin|dern
731,2,"Ich, der älteste Freund von deinem Vater Odysseus,",ich der älteste freund von deinem vater odysseus,ich|der|äl|tes|te|freund|von|dei|nem|va|ter|o|dys|seus
732,2,"Will dir rüsten ein hurtiges Schiff, und dich selber begleiten,",will dir rüsten ein hurtiges schiff und dich selber begleiten,will|dir|rüs|ten|ein|hur|ti|ges|schiff|und|dich|sel|ber|be|glei|ten
733,2,"Gehe nun wieder zu Haus, und bleib in der Freier Gesellschaft;",gehe nun wieder zu haus und bleib in der freier gesellschaft,ge|he|nun|wie|der|zu|haus|und|bleib|in|der|frei|er|ge|sell|schaft
734,2,"Dann bereite dir Zehrung, und hebe sie auf in Gefäßen:",dann bereite dir zehrung und hebe sie auf in gefäßen,dann|be|rei|te|dir|zeh|rung|und|he|be|sie|auf|in|ge|fä|ßen
735,2,"Wein in irdenen Krügen, und Mehl, das Mark der Männer,",wein in irdenen krügen und mehl das mark der männer,wein|in|ir|de|nen|krü|gen|und|mehl|das|mark|der|män|ner
736,2,In dichtnähtigen Schläuchen. Ich will jetzt unter dem Volke,in dichtnähtigen schläuchen ich will jetzt unter dem volke,in|dicht|näh|ti|gen|schläu|chen|ich|will|jetzt|un|ter|dem|vol|ke
737,2,Dir Freiwillige sammeln zu Ruderern. Viel sind der Schiffe,dir freiwillige sammeln zu ruderern viel sind der schiffe,dir|frei|wil|li|ge|sam|meln|zu|ru|de|rern|viel|sind|der|schif|fe
738,2,"An der umfluteten Küste von Ithaka, neue bei alten;",an der umfluteten küste von ithaka neue bei alten,an|der|um|flu|te|ten|küs|te|von|i|tha|ka|neue|bei|al|ten
739,2,Hiervon will ich für dich der trefflichsten eines erlesen.,hiervon will ich für dich der trefflichsten eines erlesen,hier|von|will|ich|für|dich|der|treff|lichs|ten|ei|nes|er|le|sen
740,2,"Hurtig rüsten wir dieses, und steuren ins offene Weltmeer.",hurtig rüsten wir dieses und steuren ins offene weltmeer,hur|tig|rüs|ten|wir|die|ses|und|steu|ren|ins|of|fe|ne|welt|meer
741,2,"Also sprach Athenaia, Kronions Tochter: und länger",also sprach athenaia kronions tochter und länger,al|so|sprach|athe|naia|kro|ni|ons|toch|ter|und|län|ger
742,2,"Säumte Telemachos nicht; er gehorchte der Stimme der Göttin,",säumte telemachos nicht er gehorchte der stimme der göttin,säum|te|te|le|ma|chos|nicht|er|ge|horch|te|der|stim|me|der|göt|tin
743,2,Und ging wieder zu Hause mit tiefbekümmertem Herzen.,und ging wieder zu hause mit tiefbekümmertem herzen,und|ging|wie|der|zu|hau|se|mit|tief|be|küm|mer|tem|her|zen
744,2,Allda fand er die Schar der stolzen Freier: im Hofe,allda fand er die schar der stolzen freier im hofe,all|da|fand|er|die|schar|der|stol|zen|frei|er|im|ho|fe
745,2,"Streiften sie Ziegen ab, und sengten gemästete Schweine.",streiften sie ziegen ab und sengten gemästete schweine,streif|ten|sie|zie|gen|ab|und|seng|ten|ge|mäs|te|te|schwei|ne
746,2,"Und Antinoos kam ihm lachend entgegen gewandelt,",und antinoos kam ihm lachend entgegen gewandelt,und|an|ti|noos|kam|ihm|la|chend|ent|ge|gen|ge|wan|delt
747,2,"Faßte Telemachos Hand, und sprach mit freundlicher Stimme:",faßte telemachos hand und sprach mit freundlicher stimme,faß|te|te|le|ma|chos|hand|und|sprach|mit|freund|li|cher|stim|me
748,2,"Jüngling von trotziger Red' und verwegenem Mute, sei ruhig,",jüngling von trotziger red' und verwegenem mute sei ruhig,jüng|ling|von|trot|zi|ger|red'|und|ver|we|ge|nem|mu|te|sei|ru|hig
749,2,Und bekümmre dich nicht um böse Taten und Worte!,und bekümmre dich nicht um böse taten und worte,und|be|kümm|re|dich|nicht|um|bö|se|ta|ten|und|wor|te
750,2,"Laß uns, künftig wie vor, in Wollust essen und trinken:",laß uns künftig wie vor in wollust essen und trinken,laß|uns|künf|tig|wie|vor|in|wol|lust|es|sen|und|trin|ken
751,2,"Dieses alles besorgen dir schon die Achaier, ein schnelles",dieses alles besorgen dir schon die achaier ein schnelles,die|ses|al|les|be|sor|gen|dir|schon|die|a|chai|er|ein|schnel|les
752,2,Schiff und erlesne Gefährten; damit du die göttliche Pylos,schiff und erlesne gefährten damit du die göttliche pylos,schiff|und|er|les|ne|ge|fähr|ten|da|mit|du|die|gött|li|che|py|los
753,2,"Bald erreichst, und Kunde vom trefflichen Vater erforschest!",bald erreichst und kunde vom trefflichen vater erforschest,bald|er|reichst|und|kun|de|vom|treff|li|chen|va|ter|er|for|schest
754,2,Und der verständige Jüngling Telemachos sagte dagegen:,und der verständige jüngling telemachos sagte dagegen,und|der|ver|stän|di|ge|jüng|ling|te|le|ma|chos|sag|te|da|ge|gen
755,2,"O wie ziemte mir das, Antinoos, unter euch Stolzen",o wie ziemte mir das antinoos unter euch stolzen,o|wie|ziem|te|mir|das|an|ti|noos|un|ter|euch|stol|zen
756,2,"Schweigend am Mahle zu sitzen, und ruhig im Taumel der Freude?",schweigend am mahle zu sitzen und ruhig im taumel der freude,schwei|gend|am|mah|le|zu|sit|zen|und|ru|hig|im|tau|mel|der|freu|de
757,2,"Ist es euch nicht genug, ihr Freier, daß ihr so lange",ist es euch nicht genug ihr freier daß ihr so lange,ist|es|euch|nicht|ge|nug|ihr|frei|er|daß|ihr|so|lan|ge
758,2,"Meine köstlichen Güter verschwelgt habt, da ich ein Kind war?",meine köstlichen güter verschwelgt habt da ich ein kind war,mei|ne|köst|li|chen|gü|ter|ver|schwelgt|habt|da|ich|ein|kind|war
759,2,"Jetzt da ich größer bin, und tüchtig, anderer Reden",jetzt da ich größer bin und tüchtig anderer reden,jetzt|da|ich|grö|ßer|bin|und|tüch|tig|an|de|rer|re|den
760,2,"Nachzuforschen, und höher der Mut im Busen mir steiget,",nachzuforschen und höher der mut im busen mir steiget,nach|zu|for|schen|und|hö|her|der|mut|im|bu|sen|mir|stei|get
761,2,"Werd' ich streben, auf euch des Todes Rache zu bringen.",werd' ich streben auf euch des todes rache zu bringen,werd'|ich|stre|ben|auf|euch|des|to|des|ra|che|zu|brin|gen
762,2,"Ob ich gen Pylos geh, oder hier in Ithaka bleibe!",ob ich gen pylos geh oder hier in ithaka bleibe,ob|ich|gen|py|los|geh|o|der|hier|in|i|tha|ka|blei|be
763,2,"Reisen will ich, und nichts soll meinen Entschluß mir vereiteln,",reisen will ich und nichts soll meinen entschluß mir vereiteln,rei|sen|will|ich|und|nichts|soll|mei|nen|ent|schluß|mir|ver|ei|teln
764,2,Im gedungenen Schiffe! Denn weder Schiffe noch Rudrer,im gedungenen schiffe denn weder schiffe noch rudrer,im|ge|dun|ge|nen|schif|fe|denn|we|der|schif|fe|noch|rud|rer
765,2,Hab' ich in meiner Gewalt: so schien es euch freilich am besten!,hab' ich in meiner gewalt so schien es euch freilich am besten,hab'|ich|in|mei|ner|ge|walt|so|schien|es|euch|frei|lich|am|bes|ten
766,2,"Also sprach er, und zog die Hand aus der Hand des Verräters",also sprach er und zog die hand aus der hand des verräters,al|so|sprach|er|und|zog|die|hand|aus|der|hand|des|ver|rä|ters
767,2,Leicht. Die Freier im Saale bereiteten emsig die Mahlzeit.,leicht die freier im saale bereiteten emsig die mahlzeit,leicht|die|frei|er|im|saa|le|be|rei|te|ten|em|sig|die|mahl|zeit
768,2,"Und sie spotteten seiner, und redeten höhnende Worte.",und sie spotteten seiner und redeten höhnende worte,und|sie|spot|te|ten|sei|ner|und|re|de|ten|höh|nen|de|wor|te
769,2,Unter dem Schwarme begann ein übermütiger Jüngling:,unter dem schwarme begann ein übermütiger jüngling,un|ter|dem|schwar|me|be|gann|ein|über|mü|ti|ger|jüng|ling
770,2,"Wahrlich, Telemachos sinnt recht ernstlich auf unsre Ermordung!",wahrlich telemachos sinnt recht ernstlich auf unsre ermordung,wahr|lich|te|le|ma|chos|sinnt|recht|ernst|lich|auf|uns|re|er|mor|dung
771,2,"Gebt nur acht: er holet sich Hilf' aus der sandigen Pylos,",gebt nur acht er holet sich hilf' aus der sandigen pylos,gebt|nur|acht|er|ho|let|sich|hilf'|aus|der|san|di|gen|py|los
772,2,Oder sogar aus Sparta! Er treibt's mit gewaltigem Eifer!,oder sogar aus sparta er treibt's mit gewaltigem eifer,o|der|so|gar|aus|spar|ta|er|treib|t|'s|mit|ge|wal|ti|gem|ei|fer
773,2,Oder er lenkt auch jetzo nach Ephyras fruchtbarem Lande,oder er lenkt auch jetzo nach ephyras fruchtbarem lande,o|der|er|lenkt|auch|jet|zo|nach|e|phy|ras|frucht|ba|rem|lan|de
774,2,"Seine Fahrt, und kauft sich tötende Gifte; die mischt er",seine fahrt und kauft sich tötende gifte die mischt er,sei|ne|fahrt|und|kauft|sich|tö|ten|de|gif|te|die|mischt|er
775,2,"Heimlich in unseren Wein, dann sind wir alle verloren.",heimlich in unseren wein dann sind wir alle verloren,heim|lich|in|un|se|ren|wein|dann|sind|wir|al|le|ver|lo|ren
776,2,Und von neuem begann ein übermütiger Jüngling:,und von neuem begann ein übermütiger jüngling,und|von|neu|em|be|gann|ein|über|mü|ti|ger|jüng|ling
777,2,"Aber wer weiß, ob dieser nicht auch mit dem Leben die Schiffahrt,",aber wer weiß ob dieser nicht auch mit dem leben die schiffahrt,a|ber|wer|weiß|ob|die|ser|nicht|auch|mit|dem|le|ben|die|schif|fahrt
778,2,"Fern von den Seinen, bezahlt, umhergestürmt wie Odysseus?",fern von den seinen bezahlt umhergestürmt wie odysseus,fern|von|den|sei|nen|be|zahlt|um|her|ge|stürmt|wie|o|dys|seus
779,2,"Denkt, darin macht er uns hier noch sorgenvollere Arbeit!",denkt darin macht er uns hier noch sorgenvollere arbeit,denkt|dar|in|macht|er|uns|hier|noch|sor|gen|vol|le|re|ar|beit
780,2,"Teilen müßten wir ja das ganze Vermögen, und räumen",teilen müßten wir ja das ganze vermögen und räumen,tei|len|müß|ten|wir|ja|das|gan|ze|ver|mö|gen|und|räu|men
781,2,"Seiner Mutter das Haus, und ihrem jungen Gemahle!",seiner mutter das haus und ihrem jungen gemahle,sei|ner|mut|ter|das|haus|und|ih|rem|jun|gen|ge|mah|le
782,2,Aber Telemachos stieg ins hohe weite Gewölbe,aber telemachos stieg ins hohe weite gewölbe,a|ber|te|le|ma|chos|stieg|ins|ho|he|wei|te|ge|wöl|be
783,2,"Seines Vaters hinab, wo Gold und Kupfer gehäuft lag,",seines vaters hinab wo gold und kupfer gehäuft lag,sei|nes|va|ters|hin|ab|wo|gold|und|kup|fer|ge|häuft|lag
784,2,"Prächtige Kleider in Kasten, und Fässer voll duftendes Öles.",prächtige kleider in kasten und fässer voll duftendes öles,präch|ti|ge|klei|der|in|kas|ten|und|fäs|ser|voll|duf|ten|des|ö|les
785,2,"Allda stunden auch Tonnen mit altem balsamischen Weine,",allda stunden auch tonnen mit altem balsamischen weine,all|da|stun|den|auch|ton|nen|mit|al|tem|bal|sa|mi|schen|wei|ne
786,2,"Welche das lautre Getränk, das süße, das göttliche, faßten,",welche das lautre getränk das süße das göttliche faßten,wel|che|das|lau|tre|ge|tränk|das|sü|ße|das|gött|li|che|faß|ten
787,2,"Nach der Reihe gelehnt an die Mauer, wenn jemals Odysseus",nach der reihe gelehnt an die mauer wenn jemals odysseus,nach|der|rei|he|ge|lehnt|an|die|mau|er|wenn|je|mals|o|dys|seus
788,2,"Wieder zur Heimat kehrte, nach seiner unendlichen Trübsal.",wieder zur heimat kehrte nach seiner unendlichen trübsal,wie|der|zur|hei|mat|kehr|te|nach|sei|ner|un|end|li|chen|trüb|sal
789,2,"Fest verschloß das Gewölbe die wohleinfugende Türe,",fest verschloß das gewölbe die wohleinfugende türe,fest|ver|schloß|das|ge|wöl|be|die|woh|lein|fu|gen|de|tü|re
790,2,Mit zween Riegeln verwahrt. Die Schaffnerin schaltete drinnen,mit zween riegeln verwahrt die schaffnerin schaltete drinnen,mit|zween|rie|geln|ver|wahrt|die|schaff|ne|rin|schal|te|te|drin|nen
791,2,"Tag und Nacht, und bewachte die Güter mit sorgsamer Klugheit,",tag und nacht und bewachte die güter mit sorgsamer klugheit,tag|und|nacht|und|be|wach|te|die|gü|ter|mit|sorg|sa|mer|klug|heit
792,2,"Eurykleia, die Tochter Ops, des Sohnes Peisenors.",eurykleia die tochter ops des sohnes peisenors,eu|ry|kleia|die|toch|ter|ops|des|soh|nes|pei|se|nors
793,2,"Und Telemachos rief sie hinein ins Gewölb', und sagte:",und telemachos rief sie hinein ins gewölb' und sagte,und|te|le|ma|chos|rief|sie|hin|ein|ins|ge|wölb'|und|sag|te
794,2,"Mütterchen, eil' und schöpfe mir Wein in irdene Krüge,",mütterchen eil' und schöpfe mir wein in irdene krüge,müt|te|r|chen|eil'|und|schöp|fe|mir|wein|in|ir|de|ne|krü|ge
795,2,"Mild und edel, den besten nach jenem, welchen du schonest",mild und edel den besten nach jenem welchen du schonest,mild|und|e|del|den|bes|ten|nach|je|nem|wel|chen|du|scho|nest
796,2,"Für den duldenden König, den göttergleichen Odysseus,",für den duldenden könig den göttergleichen odysseus,für|den|dul|den|den|kö|nig|den|göt|ter|glei|chen|o|dys|seus
797,2,"Wenn er einmal heimkehret, dem Todesschicksal entronnen.",wenn er einmal heimkehret dem todesschicksal entronnen,wenn|er|ein|mal|heim|keh|ret|dem|to|des|schick|sal|ent|ron|nen
798,2,"Hiermit fülle mir zwölf, und spünde sie alle mit Deckeln.",hiermit fülle mir zwölf und spünde sie alle mit deckeln,hier|mit|fül|le|mir|zwölf|und|spün|de|sie|al|le|mit|de|ckeln
799,2,Ferner schütte mir Mehl in dichtgenähete Schläuche;,ferner schütte mir mehl in dichtgenähete schläuche,fer|ner|schüt|te|mir|mehl|in|dicht|ge|nä|he|te|schläu|che
800,2,Zwanzig Maße gib mir des feingemahlenen Mehles.,zwanzig maße gib mir des feingemahlenen mehles,zwan|zig|ma|ße|gib|mir|des|fein|ge|mah|le|nen|meh|les
801,2,"Aber tu' es geheim, und lege mir alles zusammen.",aber tu' es geheim und lege mir alles zusammen,a|ber|tu'|es|ge|heim|und|le|ge|mir|al|les|zu|sam|men
802,2,"Denn am Abende komm' ich und hol' es, wenn sich die Mutter",denn am abende komm' ich und hol' es wenn sich die mutter,denn|am|a|ben|de|komm'|ich|und|hol'|es|wenn|sich|die|mut|ter
803,2,"In ihr oberes Zimmer entfernt, und der Ruhe gedenket.",in ihr oberes zimmer entfernt und der ruhe gedenket,in|ihr|obe|res|zim|mer|ent|fernt|und|der|ru|he|ge|den|ket
804,2,"Denn ich gehe gen Sparta und zu der sandigen Pylos,",denn ich gehe gen sparta und zu der sandigen pylos,denn|ich|ge|he|gen|spar|ta|und|zu|der|san|di|gen|py|los
805,2,Um nach Kunde zu forschen von meines Vaters Zurückkunft.,um nach kunde zu forschen von meines vaters zurückkunft,um|nach|kun|de|zu|for|schen|von|mei|nes|va|ters|zu|rück|kunft
806,2,Also sprach er. Da schluchzte die Pflegerin Eurykleia;,also sprach er da schluchzte die pflegerin eurykleia,al|so|sprach|er|da|schluchz|te|die|pfle|ge|rin|eu|ry|kleia
807,2,"Laut wehklagend begann sie, und sprach die geflügelten Worte:",laut wehklagend begann sie und sprach die geflügelten worte,laut|weh|kla|gend|be|gann|sie|und|sprach|die|ge|flü|gel|ten|wor|te
808,2,"Liebes Söhnchen, wie kann in dein Herz ein solcher Gedanke",liebes söhnchen wie kann in dein herz ein solcher gedanke,lie|bes|söhn|chen|wie|kann|in|dein|herz|ein|sol|cher|ge|dan|ke
809,2,"Kommen? Wo denkst du denn hin in die weite Welt zu gehen,",kommen wo denkst du denn hin in die weite welt zu gehen,kom|men|wo|denkst|du|denn|hin|in|die|wei|te|welt|zu|ge|hen
810,2,Einziger liebster Sohn? Ach ferne vom Vaterlande,einziger liebster sohn ach ferne vom vaterlande,ein|zi|ger|liebs|ter|sohn|ach|fer|ne|vom|va|ter|lan|de
811,2,Starb der edle Odysseus bei unbekannten Barbaren!,starb der edle odysseus bei unbekannten barbaren,starb|der|ed|le|o|dys|seus|bei|un|be|kann|ten|ba|r|ba|ren
812,2,"Und sie werden dir gleich, wenn du gehst, nachstellen, die Meuchler!",und sie werden dir gleich wenn du gehst nachstellen die meuchler,und|sie|wer|den|dir|gleich|wenn|du|gehst|nach|stel|len|die|meuch|ler
813,2,"Daß sie dich töten mit List, und alles unter sich teilen!",daß sie dich töten mit list und alles unter sich teilen,daß|sie|dich|tö|ten|mit|list|und|al|les|un|ter|sich|tei|len
814,2,"Bleibe denn hier, und sitz' auf dem Deinigen! Lieber, was zwingt dich,",bleibe denn hier und sitz' auf dem deinigen lieber was zwingt dich,blei|be|denn|hier|und|sitz'|auf|dem|dei|ni|gen|lie|ber|was|zwingt|dich
815,2,Auf der wütenden See in Not und Kummer zu irren?,auf der wütenden see in not und kummer zu irren,auf|der|wü|ten|den|see|in|not|und|kum|mer|zu|ir|ren
816,2,Und der verständige Jüngling Telemachos sagte dagegen:,und der verständige jüngling telemachos sagte dagegen,und|der|ver|stän|di|ge|jüng|ling|te|le|ma|chos|sag|te|da|ge|gen
817,2,"Mütterchen, sei getrost! Ich handle nicht ohne die Götter.",mütterchen sei getrost ich handle nicht ohne die götter,müt|te|r|chen|sei|ge|trost|ich|hand|le|nicht|oh|ne|die|göt|ter
818,2,"Aber schwöre mir jetzo, es nicht der Mutter zu sagen,",aber schwöre mir jetzo es nicht der mutter zu sagen,a|ber|schwö|re|mir|jet|zo|es|nicht|der|mut|ter|zu|sa|gen
819,2,"Ehe der elfte Tag vorbei ist oder der zwölfte,",ehe der elfte tag vorbei ist oder der zwölfte,e|he|der|elf|te|tag|vor|bei|ist|o|der|der|zwölf|te
820,2,"Oder mich jene vermißt, und hört von meiner Entfernung:",oder mich jene vermißt und hört von meiner entfernung,o|der|mich|je|ne|ver|mißt|und|hört|von|mei|ner|ent|fer|nung
821,2,Daß sie nicht durch Tränen ihr schönes Antlitz entstelle.,daß sie nicht durch tränen ihr schönes antlitz entstelle,daß|sie|nicht|durch|trä|nen|ihr|schö|nes|ant|litz|ent|stel|le
822,2,Also sprach er; da schwur sie bei allen unsterblichen Göttern.,also sprach er da schwur sie bei allen unsterblichen göttern,al|so|sprach|er|da|schwur|sie|bei|al|len|un|sterb|li|chen|göt|tern
823,2,"Als sie es jetzo gelobt, und vollendet den heiligen Eidschwur;",als sie es jetzo gelobt und vollendet den heiligen eidschwur,als|sie|es|jet|zo|ge|lobt|und|voll|en|det|den|hei|li|gen|eid|schwur
824,2,"Schöpfte sie ihm alsbald des Weines in irdene Krüge,",schöpfte sie ihm alsbald des weines in irdene krüge,schöpf|te|sie|ihm|als|bald|des|wei|nes|in|ir|de|ne|krü|ge
825,2,Schüttete ferner das Mehl in dichtgenähete Schläuche.,schüttete ferner das mehl in dichtgenähete schläuche,schüt|te|te|fer|ner|das|mehl|in|dicht|ge|nä|he|te|schläu|che
826,2,Und Telemachos ging in den Saal zu der Freier Gesellschaft.,und telemachos ging in den saal zu der freier gesellschaft,und|te|le|ma|chos|ging|in|den|saal|zu|der|frei|er|ge|sell|schaft
827,2,Aber ein Neues ersann die heilige Pallas Athene:,aber ein neues ersann die heilige pallas athene,a|ber|ein|neu|es|er|sann|die|hei|li|ge|pal|las|a|the|ne
828,2,"In Telemachos' Bildung erscheinend, eilte sie ringsum",in telemachos' bildung erscheinend eilte sie ringsum,in|te|le|ma|chos'|bil|dung|er|schei|nend|eil|te|sie|rings|um
829,2,"Durch die Stadt, und sprach mit jedem begegnenden Manne,",durch die stadt und sprach mit jedem begegnenden manne,durch|die|stadt|und|sprach|mit|je|dem|be|geg|nen|den|man|ne
830,2,"Und befahl, sich am Abend beim rüstigen Schiffe zu sammeln.",und befahl sich am abend beim rüstigen schiffe zu sammeln,und|be|fahl|sich|am|a|bend|beim|rüs|ti|gen|schif|fe|zu|sam|meln
831,2,"Hierauf bat sie Phronios' Sohn, den edlen Noemon,",hierauf bat sie phronios' sohn den edlen noemon,hier|auf|bat|sie|phro|nios'|sohn|den|ed|len|no|e|mon
832,2,Um ein rüstiges Schiff; und dieser versprach es ihr willig.,um ein rüstiges schiff und dieser versprach es ihr willig,um|ein|rüs|ti|ges|schiff|und|die|ser|ver|sprach|es|ihr|wil|lig
833,2,"Und die Sonne sank, und Dunkel umhüllte die Pfade.",und die sonne sank und dunkel umhüllte die pfade,und|die|son|ne|sank|und|dun|kel|um|hüll|te|die|pfa|de
834,2,"Siehe nun zog die Göttin das Schiff in die Wellen, und brachte",siehe nun zog die göttin das schiff in die wellen und brachte,sie|he|nun|zog|die|göt|tin|das|schiff|in|die|wel|len|und|brach|te
835,2,"Alle Geräte hinein, die Rüstung segelnder Schiffe;",alle geräte hinein die rüstung segelnder schiffe,al|le|ge|rä|te|hin|ein|die|rüs|tung|se|geln|der|schif|fe
836,2,Stellt' es darauf am Ende der Bucht. Die tapfern Gefährten,stellt' es darauf am ende der bucht die tapfern gefährten,stellt'|es|dar|auf|am|en|de|der|bucht|die|tap|fern|ge|fähr|ten
837,2,"Standen versammelt umher, und jeden ermahnte die Göttin.",standen versammelt umher und jeden ermahnte die göttin,stan|den|ver|sam|melt|um|her|und|je|den|er|mahn|te|die|göt|tin
838,2,Und ein Neues ersann die heilige Pallas Athene:,und ein neues ersann die heilige pallas athene,und|ein|neu|es|er|sann|die|hei|li|ge|pal|las|a|the|ne
839,2,"Eilend ging sie zum Hause des göttergleichen Odysseus,",eilend ging sie zum hause des göttergleichen odysseus,ei|lend|ging|sie|zum|hau|se|des|göt|ter|glei|chen|o|dys|seus
840,2,"Übertauete sanft mit süßem Schlafe die Freier,",übertauete sanft mit süßem schlafe die freier,über|tau|e|te|sanft|mit|sü|ßem|schla|fe|die|frei|er
841,2,"Machte die Säufer berauscht, und den Händen entsanken die Becher.",machte die säufer berauscht und den händen entsanken die becher,mach|te|die|säu|fer|be|rauscht|und|den|hän|den|ent|san|ken|die|be|cher
842,2,"Müde wankten sie heim durch die Stadt, und konnten nicht länger",müde wankten sie heim durch die stadt und konnten nicht länger,mü|de|wank|ten|sie|heim|durch|die|stadt|und|konn|ten|nicht|län|ger
843,2,"Sitzen, da ihnen der Schlaf die Augenlider bedeckte.",sitzen da ihnen der schlaf die augenlider bedeckte,sit|zen|da|ih|nen|der|schlaf|die|au|gen|li|der|be|deck|te
844,2,Aber Telemachos rief die heilige Pallas Athene,aber telemachos rief die heilige pallas athene,a|ber|te|le|ma|chos|rief|die|hei|li|ge|pal|las|a|the|ne
845,2,"Aus dem Saale hervor des schöngebauten Palastes,",aus dem saale hervor des schöngebauten palastes,aus|dem|saa|le|her|vor|des|schön|ge|bau|ten|pa|las|tes
846,2,"Mentorn gleich in allem, sowohl an Gestalt wie an Stimme:",mentorn gleich in allem sowohl an gestalt wie an stimme,men|torn|gleich|in|al|lem|so|wohl|an|ge|stalt|wie|an|stim|me
847,2,"Jetzo, Telemachos, sitzen die schöngeharnischten Freunde",jetzo telemachos sitzen die schöngeharnischten freunde,jet|zo|te|le|ma|chos|sit|zen|die|schön|ge|har|nisch|ten|freun|de
848,2,"Alle am Ruder bereit, und harren nur deiner zur Abfahrt.",alle am ruder bereit und harren nur deiner zur abfahrt,al|le|am|ru|der|be|reit|und|har|ren|nur|dei|ner|zur|ab|fahrt
849,2,"Laß uns zu Schiffe gehn, und die Reise nicht länger verschieben!",laß uns zu schiffe gehn und die reise nicht länger verschieben,laß|uns|zu|schif|fe|gehn|und|die|rei|se|nicht|län|ger|ver|schie|ben
850,2,"Als sie die Worte geredet, da wandelte Pallas Athene",als sie die worte geredet da wandelte pallas athene,als|sie|die|wor|te|ge|re|det|da|wan|del|te|pal|las|a|the|ne
851,2,Eilend voran; und er folgte den Schritten der wandelnden Göttin.,eilend voran und er folgte den schritten der wandelnden göttin,ei|lend|vor|an|und|er|folg|te|den|schrit|ten|der|wan|deln|den|göt|tin
852,2,"Und da sie jetzo das Schiff und des Meeres Ufer erreichten,",und da sie jetzo das schiff und des meeres ufer erreichten,und|da|sie|jet|zo|das|schiff|und|des|mee|res|u|fer|er|reich|ten
853,2,Fanden sie an dem Gestade die hauptumlockten Genossen.,fanden sie an dem gestade die hauptumlockten genossen,fan|den|sie|an|dem|ge|sta|de|die|haup|tum|lock|ten|ge|nos|sen
854,2,Unter ihnen begann Telemachos' heilige Stärke:,unter ihnen begann telemachos' heilige stärke,un|ter|ih|nen|be|gann|te|le|ma|chos'|hei|li|ge|stär|ke
855,2,"Kommt, Geliebte, mit mir, die Zehrung zu holen. Sie liegt schon",kommt geliebte mit mir die zehrung zu holen sie liegt schon,kommt|ge|lieb|te|mit|mir|die|zeh|rung|zu|ho|len|sie|liegt|schon
856,2,"Alle beisammen im Haus; und nichts argwöhnet die Mutter,",alle beisammen im haus und nichts argwöhnet die mutter,al|le|bei|sam|men|im|haus|und|nichts|arg|wöh|net|die|mut|ter
857,2,Noch die übrigen Mägde; nur eine weiß das Geheimnis.,noch die übrigen mägde nur eine weiß das geheimnis,noch|die|üb|ri|gen|mäg|de|nur|ei|ne|weiß|das|ge|heim|nis
858,2,"Also sprach er, und eilte voran; sie folgten dem Führer,",also sprach er und eilte voran sie folgten dem führer,al|so|sprach|er|und|eil|te|vor|an|sie|folg|ten|dem|füh|rer
859,2,"Brachten alles, und legten's im schöngebordeten Schiffe",brachten alles und legten's im schöngebordeten schiffe,brach|ten|al|les|und|leg|ten|'s|im|schön|ge|bor|de|ten|schif|fe
860,2,"Nieder, wie ihnen befahl der geliebte Sohn von Odysseus.",nieder wie ihnen befahl der geliebte sohn von odysseus,nie|der|wie|ih|nen|be|fahl|der|ge|lieb|te|sohn|von|o|dys|seus
861,2,"Und Telemachos trat in das Schiff, geführt von Athenen.",und telemachos trat in das schiff geführt von athenen,und|te|le|ma|chos|trat|in|das|schiff|ge|führt|von|a|the|nen
